ID,Name,Type,Episodes,Rating,Realease_year,Genres,Release_season,Studio
213,Gintama: Aizome Kaori-hen,OVA  ,2,4.25,2016,"Action, Comedy",,BN Pictures
214,Fate/stay night: Unlimited Blade Works 2,TV   ,13,4.25,2015,"Action, Fantasy",Spring,ufotable
215,Fate/stay night: Heaven's Feel II. lost butterfly,Movie,0,4.25,2019,"Action, Fantasy",,ufotable
216,Hunter x Hunter OVA 3: Greed Island Final,OVA  ,14,4.25,2004,"Action, Adventure",,Nippon Animation
217,Kuroko's Basketball,TV   ,25,4.25,2012,"Shounen, Sports",Spring,Production I.G
218,Naruto Shippuden,TV   ,500,4.25,2007,"Action, Drama",Winter,Pierrot
219,Maid-sama!,TV   ,26,4.25,2010,"Comedy, Romance",Spring,J.C.Staff
220,Fairy Tail: Final Season,TV   ,51,4.25,2018,"Action, Adventure",Fall ,A-1 Pictures
221,Scissor Seven 3rd Season,Web  ,10,4.25,2021,"Action, Comedy",,Sharefun Studio
222,Fairy Tail 2,TV   ,102,4.25,2014,"Action, Adventure",Spring,A-1 Pictures
223,Hajime no Ippo: Champion Road,TV Sp,0,4.25,2003,"Action, Drama",,MADHOUSE
224,Chihayafuru 3,TV   ,24,4.25,2019,"Drama, Josei",Fall ,MADHOUSE
225,Haikyuu!! Riku vs Kuu,OVA  ,2,4.24,2020,"Shounen, Sports",,Production I.G
226,Violet Evergarden Special,DVD S,0,4.24,2018,"Drama, Melancholy",,Kyoto Animation
227,Bakuman. 2,TV   ,25,4.24,2011,"Drama, Shounen",Fall ,J.C.Staff
228,Spice and Wolf II,TV   ,12,4.24,2009,"Adventure, Drama",Summer,Brain's Base
229,Magi: The Kingdom of Magic,TV   ,25,4.24,2013,"Action, Adventure",Fall ,A-1 Pictures
230,Black Butler: Book of Circus,TV   ,10,4.24,2014,"Shounen, 19th Century",Summer,A-1 Pictures
231,Gintama: Shinyaku Benizakura-hen Special,DVD S,0,4.24,2010,"Comedy, Sci Fi",,Sunrise
232,Yona of the Dawn,TV   ,24,4.24,2014,"Adventure, Fantasy",Fall ,Pierrot
233,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,0,4.24,2021,"Mecha, Sci Fi",,Khara
234,Haikyuu!! Movie 2: Shousha to Haisha,Movie,0,4.24,2015,"Shounen, Sports",,Production I.G
235,School Babysitters Special,DVD S,0,4.24,2018,"Comedy, Shoujo",,Brain's Base
236,Toilet-Bound Hanako-kun,TV   ,12,4.24,2020,"Shounen, Ghosts",Winter,Lerche
237,Shelter,Music,0,4.24,2016,"Drama, Sci Fi",,A-1 Pictures
238,Scissor Seven 2nd Season,Web  ,10,4.24,2019,"Action, Comedy",,Sharefun Studio
239,Non Non Biyori Nonstop,TV   ,12,4.24,2021,"Comedy, Seinen",Winter,SILVER LINK.
240,Samurai Champloo,TV   ,26,4.24,2004,"Action, Adventure",Spring,Manglobe
241,Run with the Wind,TV   ,23,4.24,2018,"Drama, Sports",Fall ,Production I.G
242,My Dress-Up Darling,TV   ,0,4.24,2022,"Comedy, Ecchi",Winter,CloverWorks
243,Grave of the Fireflies,Movie,0,4.23,1988,"Drama, Autobiographies",,Studio Ghibli
244,JoJo's Bizarre Adventure: Phantom Blood,Movie,0,4.23,2007,"Action, Shounen",,A.P.P.P.
245,Tengen Toppa Gurren Lagann: Lagann-hen,Movie,0,4.23,2009,"Action, Mecha",,GAINAX
246,Haikyuu!! Movie 1: Owari to Hajimari,Movie,0,4.23,2015,"Shounen, Sports",,Production I.G
247,No Game No Life: Zero,Movie,0,4.23,2017,"Action, Adventure",,MADHOUSE
248,Shouwa Genroku Rakugo Shinjuu,TV   ,13,4.23,2016,"Drama, Josei",Winter,Studio DEEN
249,Dragon Ball Super Movie: Broly,Movie,0,4.23,2018,"Action, Shounen",,Toei Animation
250,Detective Conan Movie 20: The Darkest Nightmare,Movie,0,4.23,2016,"Action, Drama",,TMS Entertainment
251,Sasaki and Miyano,TV   ,0,4.23,2022,"BL, Romance",Winter,Studio DEEN
252,Black Lagoon: The Second Barrage,TV   ,12,4.23,2006,"Action, Seinen",Fall ,MADHOUSE
253,Ace of the Diamond: Second Season,TV   ,51,4.23,2015,"Shounen, Sports",Spring,MADHOUSE
254,My Teen Romantic Comedy SNAFU Climax,TV   ,12,4.23,2020,"Drama, Romance",Summer,feel.
255,Evangelion: 2.0 You Can (Not) Advance,Movie,0,4.23,2009,"Action, Drama",,Khara
256,Major Season 6,TV   ,25,4.23,2010,"Drama, Shounen",Spring,Synergy SP
257,Bungo Stray Dogs Wan!,TV   ,12,4.23,2021,"Comedy, Seinen",Winter,Nomad
258,Made in Abyss: Hourou Suru Tasogare,Movie,0,4.23,2019,"Adventure, Drama",,Kinema Citrus
259,Rascal Does Not Dream of Bunny Girl Senpai,TV   ,13,4.23,2018,"Drama, Romance",Fall ,CloverWorks
260,Kingdom 2,TV   ,39,4.23,2013,"Action, Drama",Summer,Pierrot
261,InuYasha: The Final Act,TV   ,26,4.23,2009,"Fantasy, Shounen",Fall ,Sunrise
262,Gintama: The Semi-Final,Web  ,2,4.23,2021,"Comedy, Sci Fi",Winter,BN Pictures
263,Major Season 3,TV   ,26,4.22,2007,"Drama, Shounen",Winter,Studio Hibari
264,Bungo Stray Dogs Movie: Dead Apple,Movie,0,4.22,2018,"Action, Mystery",,Bones
265,Major: World Series,OVA  ,2,4.22,2011,"Drama, Shounen",,Synergy SP
266,Overlord,TV   ,13,4.22,2015,"Action, Adventure",Summer,MADHOUSE
267,Shanhe Jian Xin,Web  ,16,4.22,2021,"Action, BL",,Motion Magic
268,World Trigger 3rd Season,TV   ,0,4.22,2021,"Action, Sci Fi",Fall ,Toei Animation
269,Nausicaa of the Valley of the Wind,Movie,0,4.22,1984,"Drama, Fantasy",,Top Craft
270,Blue Spring Ride: Page.13,OVA  ,1,4.22,2014,"Drama, Romance",,Production I.G
271,The Ancient Magus' Bride,TV   ,24,4.22,2017,"Drama, Fantasy",Fall ,WIT Studio
